date,portfolio_value_inr
2025-04-08,4899714351.2
2025-04-09,4878718620.15
2025-04-11,4920383678.17
2025-04-15,4988579802.08
2025-04-16,4995784173.59
2025-04-17,5052741646.12
2025-04-21,5093303386.79
2025-04-22,5099020499.53
2025-04-23,5125406235.35
2025-04-24,5109627007.62
2025-04-25,5118494243.74
2025-04-28,5158759038.57
2025-04-29,5176283973.88
2025-04-30,5184981456.8
2025-05-02,5189801028.2
2025-05-05,5206957523.67
2025-05-06,5203404183.35
2025-05-07,5203591649.91
2025-05-08,5196194598.81
2025-05-09,5140704797.16
2025-05-12,5314926667.64
2025-05-13,5233619671.36
2025-05-14,5245511129.56
2025-05-15,5295254080.62
2025-05-16,5283124760.85
2025-05-19,5255674242.7
2025-05-20,5228724031.08
2025-05-21,5248292808.22
2025-05-22,5217571167.51
2025-05-23,5249771940.85
2025-05-26,5272461126.31
2025-05-27,5242663081.07
2025-05-28,5241308373.84
2025-05-29,5253660096.06
2025-05-30,5254821231.61
2025-06-02,5239824509.22
2025-06-03,5214839459.64
2025-06-04,5233565087.32
2025-06-05,5254983822.65
2025-06-06,5281334215.1
2025-06-09,5284132644.41
2025-06-10,5286110728.69
2025-06-11,5304126205.22
2025-06-12,5277416192.65
2025-06-13,5252057596.89
2025-06-16,5289689011.35
2025-06-17,5293754763.7
2025-06-18,5277949921.46
2025-06-19,5267581302.84
2025-06-20,5307334025.96
2025-06-23,5264724845.46
2025-06-24,5269660868.72
2025-06-25,5313544591.7
2025-06-26,5353543881.24
2025-06-27,5374795364.85
2025-06-30,5354963108.92
2025-07-01,5363470123.6
2025-07-02,5343770593.16
2025-07-03,5344019576.04
2025-07-04,5369975114.55
2025-07-07,5362852578.2
2025-07-08,5377412195.95
2025-07-09,5366206819.01
2025-07-10,5349894855.08
2025-07-11,5298535669.1
2025-07-14,5274733636.5
2025-07-15,5298456313.42
2025-07-16,5307546781.84
2025-07-17,5279087545.1
2025-07-18,5262660217.75
2025-07-21,5280675760.87
2025-07-22,5275123431.81
2025-07-23,5300548023.83
2025-07-24,5268184432.02
2025-07-25,5237774447.21
2025-07-28,5234321688.45
2025-07-29,5247181729.1
2025-07-30,5247953662.66
2025-07-31,5227885511.09
2025-08-01,5195901415.97
2025-08-04,5204076443.31
2025-08-05,5168615825.51
2025-08-06,5156006052.76
2025-08-07,5161840529.82
2025-08-08,5130566959.03
2025-08-11,5153805690.55
2025-08-12,5132030616.77
2025-08-13,5139939488.87
2025-08-14,5156499585.07
2025-08-18,5161812179.54
2025-08-19,5172254745.03
2025-08-20,5207839286.46
2025-08-21,5220895996.17
2025-08-22,5183238368.63
2025-08-25,5219759366.1
2025-08-26,5193937083.77
2025-08-28,5143456441.43
2025-08-29,5107717423.45
2025-09-01,5130509991.04
2025-09-02,5120657140.75
2025-09-03,5123416768.97
2025-09-04,5121314603.11
2025-09-05,5111532321.59
2025-09-08,5105158601.05
2025-09-09,5145616321.89
2025-09-10,5171151587.82
2025-09-11,5165140064.48
2025-09-12,5185055101.9
2025-09-15,5174697780.7
2025-09-16,5184401215.85
2025-09-17,5196208271.24
2025-09-18,5220043403.91
2025-09-19,5196173011.32
2025-09-22,5150281833.48
2025-09-23,5135969277.46
2025-09-24,5115749713.51
2025-09-25,5090241827.48
2025-09-26,5052113313.42
2025-09-29,5047770855.92
2025-09-30,5044093618.63
2025-10-01,5078489861.69
2025-10-03,5072157124.43
2025-10-06,5114473990.94
2025-10-07,5122413041.99
2025-10-08,5136650985.23
2025-10-09,5153845516.24
2025-10-10,5159073672.84
2025-10-13,5137011090.26
2025-10-14,5130295009.84
2025-10-15,5131939605.6
2025-10-16,5166092371.85
2025-10-17,5173238289.45
2025-10-20,5192268139.48
2025-10-21,5198597724.71
2025-10-23,5226034421.58
2025-10-24,5213013843.62
2025-10-27,5239231558.65
2025-10-28,5228606200.27
2025-10-29,5248356215.75
2025-10-30,5215567268.97
2025-10-31,5192602717.44
2025-11-03,5193914812.51
2025-11-04,5163551881.41
2025-11-06,5167354288.49
2025-11-07,5169271220.11
2025-11-10,5202717434.27
2025-11-11,5229212057.95
2025-11-12,5258257920.54
2025-11-13,5256151383.05
2025-11-14,5236880190.84
2025-11-17,5249227836.24
2025-11-18,5228950875.94
2025-11-19,5273673976.2
2025-11-20,5298772367.29
2025-11-21,5285045240.91
2025-11-24,5282047583.22
2025-11-25,5255457460.65
2025-11-26,5311543784.19
2025-11-27,5323003115.09
2025-11-28,5317720086.35
2025-12-01,5312623494.87
2025-12-02,5282659620.02
2025-12-03,5316344043.47
2025-12-04,5327092999.69
2025-12-05,5349733251.25
2025-12-08,5346098868.55
2025-12-09,5317493711.42
2025-12-10,5296443731.7
2025-12-11,5317813839.62
2025-12-12,5330527472.44
2025-12-15,5329777826.61
2025-12-16,5311522647.41
2025-12-17,5301455873.23
2025-12-18,5321198411.6
2025-12-19,5341097402.27
2025-12-22,5386949486.22
2025-12-23,5379937889.14
2025-12-24,5373583760.95
2025-12-26,5354111139.21
2025-12-29,5335231424.53
2025-12-30,5318884183.3
2025-12-31,5321003308.61
2026-01-01,5331853813.47
2026-01-02,5366667933.66
2026-01-05,5315937234.37
2026-01-06,5297077084.55
2026-01-07,5307329960.05
2026-01-08,5266983318.8
2026-01-09,5248311162.64
2026-01-12,5247767808.33
2026-01-13,5252745298.47
2026-01-14,5221869773.77
2026-01-15,5221869773.77
2026-01-16,5284152866.18
2026-01-19,5240378913.21
2026-01-20,5213463434.46
2026-01-21,5194666717.07
2026-01-22,5199816603.88
2026-01-23,5195640224.78
2026-01-27,5218550728.71
2026-01-28,5232761552.26
2026-01-29,5227683106.61
2026-01-30,5197351181.92
2026-02-02,5194504564.35
2026-02-03,5273986097.22
2026-02-04,5194075157.6
2026-02-05,5170860456.39
2026-02-06,5152311140.88
2026-02-09,5143645399.81
2026-02-10,5147041920.26
2026-02-11,5118645798.91
2026-02-12,5042153015.67
2026-02-13,4987118359.31
2026-02-16,5018777226.24
2026-02-17,5027055492.6
2026-02-18,5020049545.53
2026-02-19,4985305969.17
2026-02-20,4979021389.54
2026-02-23,4982916019.02
2026-02-24,4917851931.6
2026-02-25,4926202346.29
2026-02-26,4922821015.34
2026-02-27,4898911442.06
2026-03-02,4864031432.54
2026-03-04,4848669008.52
2026-03-05,4870414954.4
2026-03-06,4831797658.27
2026-03-09,4804089650.2
2026-03-10,4809745801.54
2026-03-11,4759618418.54
2026-03-12,4738478655.71
2026-03-13,4696506063.62
2026-03-16,4737616380.46
2026-03-17,4738769110.44
2026-03-18,4766133143.97
2026-03-19,4650576540.64
2026-03-20,4662715332.78
2026-03-23,4607565355.14
2026-03-24,4658821713.8
2026-03-25,4680286279.6
2026-03-27,4612010025.5
2026-03-30,4555007269.05
2026-04-01,4600947939.03
2026-04-02,4625624453.79
2026-04-06,4645355968.09
2026-04-07,4680314738.98
2026-04-08,4780785665.4
2026-04-09,4738318868.41
2026-04-10,4745939294.43
2026-04-13,4709614407.25
2026-04-15,4765426944.18
2026-04-16,4757864558.36
2026-04-17,4772148988.38
2026-04-20,4766503584.27
2026-04-21,4800339198.19
2026-04-22,4746058631.09
2026-04-23,4695397989.07
2026-04-24,4615941855.28
2026-04-27,4647439420.39
2026-04-28,4628439126.6
2026-04-29,4646266576.59
2026-04-30,4639967901.69
2026-05-01,4639967901.69
2026-05-04,4650047732.42
2026-05-05,4638468439.63
2026-05-06,4642746625.04
