date,portfolio_value
2023-10-22,139951.4798660833
2023-10-23,138781.59209394126
2023-10-24,137039.20774359378
2023-10-25,135827.58045045516
2023-10-26,135520.69113844776
2023-10-27,136987.87748511462
2023-10-28,139340.1431257832
2023-10-29,140158.6419133565
2023-10-30,142525.03057220927
2023-10-31,143544.02272569842
2023-11-01,143400.6859969605
2023-11-02,142572.85513742478
2023-11-03,144065.7199907125
2023-11-04,142661.7308900489
2023-11-05,141042.58372755273
2023-11-06,140990.35938494772
2023-11-07,139639.06610054168
2023-11-08,137811.88389211186
2023-11-09,136704.4978741595
2023-11-10,138778.24215689077
2023-11-11,136421.33517989833
2023-11-12,134707.59171725245
2023-11-13,137248.78631092864
2023-11-14,136406.65000468696
2023-11-15,136985.9687425322
2023-11-16,136770.56638239173
2023-11-17,138050.56575211658
2023-11-18,139305.9273053078
2023-11-19,142259.60546358683
2023-11-20,140646.0520552921
2023-11-21,141837.93891116272
2023-11-22,140734.17102582892
2023-11-23,144482.16512776323
2023-11-24,145530.97646611978
2023-11-25,146828.9260884351
2023-11-26,146228.70930535826
2023-11-27,145182.69066330625
2023-11-28,145439.5910857693
2023-11-29,147408.78196898743
2023-11-30,146231.1865848018
2023-12-01,147459.5300561326
2023-12-02,146963.32587631512
2023-12-03,150500.00478285985
2023-12-04,152572.6559258224
2023-12-05,154382.62957918923
2023-12-06,153740.60546470046
2023-12-07,157217.22356372024
2023-12-08,155465.3115846764
2023-12-09,158673.5544716221
2023-12-10,158274.99936910294
2023-12-11,159648.3605310096
2023-12-12,157774.211359626
2023-12-13,158795.61065966368
2023-12-14,152838.681158981
2023-12-15,154799.53918121837
2023-12-16,151298.504874023
2023-12-17,150725.48438195614
2023-12-18,152539.3272349759
2023-12-19,153457.75765398316
2023-12-20,153306.25297217097
2023-12-21,150310.23841549052
2023-12-22,149282.0379338408
2023-12-23,149869.0923231325
2023-12-24,150596.99372588086
2023-12-25,150530.4034957344
2023-12-26,151513.1517754754
2023-12-27,155375.71557728734
2023-12-28,156512.31795096156
2023-12-29,158251.6034022078
2023-12-30,159922.77205941576
2023-12-31,157972.6766553781
2024-01-01,160518.71094894287
2024-01-02,156848.80856148453
2024-01-03,157053.75380499562
2024-01-04,160948.34077705588
2024-01-05,160906.0399431357
2024-01-06,157228.52612431147
2024-01-07,157481.65276222266
2024-01-08,158173.50050952128
2024-01-09,157583.86749771805
2024-01-10,154861.04069929552
2024-01-11,154680.85830831915
2024-01-12,155570.81073808082
2024-01-13,154206.01574057678
2024-01-14,155448.60727588666
2024-01-15,158193.28011486706
2024-01-16,158112.17132864875
2024-01-17,157240.61464984884
2024-01-18,156808.54664929595
2024-01-19,156530.297981273
2024-01-20,156016.02797240962
2024-01-21,155412.85701041188
2024-01-22,159602.71155074547
2024-01-23,161751.8894363712
2024-01-24,164804.83185120835
2024-01-25,162586.0688624331
2024-01-26,160138.58140627845
2024-01-27,160158.76560974863
2024-01-28,162795.25534177723
2024-01-29,166964.37681123288
2024-01-30,167534.48748286965
2024-01-31,168138.46745266573
2024-02-01,172143.31889442357
2024-02-02,174181.88963927305
2024-02-03,172959.18099741993
2024-02-04,171481.08690838743
2024-02-05,171959.4313446114
2024-02-06,173710.93450466628
2024-02-07,173702.59672320605
2024-02-08,172747.0294208956
2024-02-09,173861.4401656228
2024-02-10,170840.77140682592
2024-02-11,172597.86981257502
2024-02-12,171193.9899726641
2024-02-13,167417.27686367137
2024-02-14,164895.80322468348
2024-02-15,168818.70945969218
2024-02-16,168798.9528178086
2024-02-17,168919.23156575143
2024-02-18,167784.966753625
2024-02-19,167509.76402815268
2024-02-20,168223.60985867633
2024-02-21,166425.03644817116
2024-02-22,166972.45884796546
2024-02-23,164220.5091530022
2024-02-24,168935.01507671137
2024-02-25,169736.69716796905
2024-02-26,172986.28986392514
2024-02-27,172933.32602377285
2024-02-28,174055.24446910666
2024-02-29,173747.13118257376
2024-03-01,171307.46000196083
2024-03-02,173833.5502863852
2024-03-03,174485.36085374816
2024-03-04,174427.4855166269
2024-03-05,174167.38450819597
2024-03-06,172529.53147216132
2024-03-07,172800.49816496475
2024-03-08,175288.546326153
2024-03-09,178313.82993895817
2024-03-10,176019.8189576992
2024-03-11,184572.54875766134
2024-03-12,183539.41052783476
2024-03-13,184621.49030390102
2024-03-14,185402.8502201968
2024-03-15,187276.32077546595
2024-03-16,184530.18252562234
2024-03-17,188969.1833068678
2024-03-18,187016.61392342165
2024-03-19,185394.75764169896
2024-03-20,182306.71645955142
2024-03-21,181446.15389282737
2024-03-22,185241.2472078544
2024-03-23,185684.8797477839
2024-03-24,186916.6596897271
2024-03-25,188339.19273297556
2024-03-26,187699.31637826646
2024-03-27,188404.28503771735
2024-03-28,192898.43554485348
2024-03-29,191277.15964391798
2024-03-30,191407.72276166186
2024-03-31,192938.60282542583
2024-04-01,192509.22118899977
2024-04-02,192852.31014925888
2024-04-03,194048.01353643613
2024-04-04,195038.68035352902
2024-04-05,195637.46992805705
2024-04-06,198780.17155381246
2024-04-07,197247.63753023048
2024-04-08,191648.43599931168
2024-04-09,191202.52551246807
2024-04-10,190104.51071238052
2024-04-11,186848.43225474027
2024-04-12,187258.87940153503
2024-04-13,183107.24241694715
2024-04-14,184386.14458629105
2024-04-15,189082.54267417704
2024-04-16,187991.79398383904
2024-04-17,181052.83305919223
2024-04-18,184470.1442608089
2024-04-19,185908.49020397774
2024-04-20,190742.73567162533
2024-04-21,190665.2972304705
2024-04-22,191045.33791696426
2024-04-23,190130.27770218466
2024-04-24,191862.0378950934
2024-04-25,190651.8232389559
2024-04-26,189348.97163963842
2024-04-27,189589.15124852417
2024-04-28,193439.10721088806
2024-04-29,192111.5032050699
2024-04-30,189389.90077975957
2024-05-01,191956.79036054635
2024-05-02,195257.63740407905
2024-05-03,197726.49755172056
2024-05-04,197058.99102954008
2024-05-05,195199.97717905953
2024-05-06,197945.49513092358
